1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
30 a 44 años;Masculino;Fontibón;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Femenino;Puente Aranda;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
45 a 59 años;Femenino;Rafael Uribe Uribe;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
30 a 44 años;Femenino;Engativá;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
60 o más;Masculino;Rafael Uribe Uribe;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Femenino;Suba;Estrato 4;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;
45 a 59 años, 60 o más;Masculino;Rafael Uribe Uribe;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 4;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;Los malos olores, ratones y focos de enfermedades;;;;;;;;;
45 a 59 años;Femenino;Chapinero;Estrato 5;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, Los horarios y frecuencias de recolección de basuras;, Recicladores no formales sacando basura ;;;;;;
18 a 29 años;Femenino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, Que los recicladores rompen las bolsas de la basura y generan mayor desorden y mal aspecto ;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Engativá;Estrato 4;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;;;;;;;;
60 o más;Masculino;Santa Fe;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 3;Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, Los horarios y frecuencias de recolección de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 4;El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;Usaquén;Estrato 5;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, El deterioro ambiental;, Las basuras se sacan en dias de no recoleccion! La pobre educacion de los ciudadanos que tiiran las basuras en cualquier sitio; Los residuos de obra y los materiales que no se pueden disponer en los shuts de basura, terminan en las calles,; A pesar de pagar tarifas altas de aseo , las calles siempre estan muy sucias;;;;
30 a 44 años;Femenino;Suba;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
18 a 29 años;Femenino;Usaquén;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;
60 o más;Femenino;Usaquén;Estrato 5;La basura tirada en la calle;;;;;;;;;
